horizon_days,fold,test_from,test_to,ticker,n_test,n_train,acc_logistic_%,acc_xgboost_%,own_baseline_%,edge_logistic_pp,edge_xgboost_pp
5,11,2021-07,2022-01,CFIN,124,13941,32.3,31.5,30.6,1.6,0.8
5,11,2021-07,2022-01,COMB,124,13941,31.5,38.7,41.9,-10.5,-3.2
5,11,2021-07,2022-01,HNB,124,13941,39.5,35.5,40.3,-0.8,-4.8
5,11,2021-07,2022-01,LFIN,124,13941,33.1,30.6,36.3,-3.2,-5.6
5,11,2021-07,2022-01,LOFC,124,13941,44.4,58.1,41.1,3.2,16.9
5,11,2021-07,2022-01,LOLC,124,13941,45.2,42.7,46.8,-1.6,-4.0
5,11,2021-07,2022-01,SAMP,124,13941,33.1,50.0,46.8,-13.7,3.2
5,12,2022-01,2022-07,CFIN,95,14809,32.6,31.6,45.3,-12.6,-13.7
5,12,2022-01,2022-07,COMB,95,14809,34.7,29.5,37.9,-3.2,-8.4
5,12,2022-01,2022-07,HNB,95,14809,29.5,13.7,41.1,-11.6,-27.4
5,12,2022-01,2022-07,LFIN,95,14809,36.8,29.5,52.6,-15.8,-23.2
5,12,2022-01,2022-07,LOFC,94,14809,33.0,47.9,70.2,-37.2,-22.3
5,12,2022-01,2022-07,LOLC,95,14809,34.7,33.7,52.6,-17.9,-18.9
5,12,2022-01,2022-07,SAMP,107,14809,29.9,21.5,45.8,-15.9,-24.3
5,13,2022-07,2023-01,CFIN,96,15484,44.8,43.8,40.6,4.2,3.1
5,13,2022-07,2023-01,COMB,98,15484,36.7,42.9,32.7,4.1,10.2
5,13,2022-07,2023-01,HNB,98,15484,45.9,41.8,38.8,7.1,3.1
5,13,2022-07,2023-01,LFIN,97,15484,37.1,39.2,39.2,-2.1,0.0
5,13,2022-07,2023-01,LOFC,96,15484,57.3,60.4,59.4,-2.1,1.0
5,13,2022-07,2023-01,LOLC,97,15484,60.8,61.9,60.8,0.0,1.0
5,13,2022-07,2023-01,SAMP,124,15484,46.0,45.2,45.2,0.8,0.0
5,14,2023-01,2023-07,CFIN,117,16198,59.0,41.9,34.2,24.8,7.7
5,14,2023-01,2023-07,COMB,119,16198,49.6,36.1,34.5,15.1,1.7
5,14,2023-01,2023-07,HNB,118,16198,46.6,41.5,45.8,0.8,-4.2
5,14,2023-01,2023-07,LFIN,119,16198,42.0,39.5,53.8,-11.8,-14.3
5,14,2023-01,2023-07,LOFC,119,16198,56.3,37.8,64.7,-8.4,-26.9
5,14,2023-01,2023-07,LOLC,119,16198,51.3,28.6,47.9,3.4,-19.3
5,14,2023-01,2023-07,SAMP,119,16198,44.5,33.6,42.0,2.5,-8.4
5,15,2023-07,2024-01,CFIN,123,17028,39.0,42.3,39.0,0.0,3.3
5,15,2023-07,2024-01,COMB,123,17028,47.2,36.6,43.9,3.3,-7.3
5,15,2023-07,2024-01,HNB,123,17028,35.0,23.6,39.0,-4.1,-15.4
5,15,2023-07,2024-01,LFIN,123,17028,34.1,30.1,34.1,0.0,-4.1
5,15,2023-07,2024-01,LOFC,123,17028,19.5,23.6,59.3,-39.8,-35.8
5,15,2023-07,2024-01,LOLC,123,17028,21.1,17.1,49.6,-28.5,-32.5
5,15,2023-07,2024-01,SAMP,123,17028,38.2,24.4,42.3,-4.1,-17.9
5,16,2024-01,2024-07,CFIN,115,17903,40.0,35.7,31.3,8.7,4.3
5,16,2024-01,2024-07,COMB,115,17903,40.9,40.9,29.6,11.3,11.3
5,16,2024-01,2024-07,HNB,115,17903,40.0,34.8,28.7,11.3,6.1
5,16,2024-01,2024-07,LFIN,115,17903,39.1,38.3,33.9,5.2,4.3
5,16,2024-01,2024-07,LOFC,115,17903,41.7,38.3,47.8,-6.1,-9.6
5,16,2024-01,2024-07,LOLC,115,17903,37.4,20.9,44.3,-7.0,-23.5
5,16,2024-01,2024-07,SAMP,115,17903,42.6,40.0,39.1,3.5,0.9
5,17,2024-07,2025-01,CFIN,125,18694,44.8,36.8,37.6,7.2,-0.8
5,17,2024-07,2025-01,COMB,122,18694,43.4,33.6,55.7,-12.3,-22.1
5,17,2024-07,2025-01,HNB,125,18694,39.2,38.4,48.0,-8.8,-9.6
5,17,2024-07,2025-01,LFIN,125,18694,39.2,37.6,48.8,-9.6,-11.2
5,17,2024-07,2025-01,LOFC,125,18694,40.8,46.4,40.0,0.8,6.4
5,17,2024-07,2025-01,LOLC,125,18694,36.0,38.4,42.4,-6.4,-4.0
5,17,2024-07,2025-01,SAMP,125,18694,43.2,38.4,47.2,-4.0,-8.8
5,18,2025-01,2025-07,CFIN,114,19559,44.7,48.2,32.5,12.3,15.8
5,18,2025-01,2025-07,COMB,114,19559,28.9,43.9,28.9,0.0,14.9
5,18,2025-01,2025-07,HNB,114,19559,27.2,39.5,33.3,-6.1,6.1
5,18,2025-01,2025-07,LFIN,114,19559,43.0,52.6,52.6,-9.6,0.0
5,18,2025-01,2025-07,LOFC,114,19559,39.5,36.0,46.5,-7.0,-10.5
5,18,2025-01,2025-07,LOLC,114,19559,31.6,30.7,44.7,-13.2,-14.0
5,18,2025-01,2025-07,SAMP,114,19559,36.0,40.4,28.9,7.0,11.4
5,19,2025-07,2026-01,CFIN,124,20357,37.1,29.0,36.3,0.8,-7.3
5,19,2025-07,2026-01,COMB,124,20357,25.0,36.3,39.5,-14.5,-3.2
5,19,2025-07,2026-01,HNB,124,20357,37.1,46.0,41.1,-4.0,4.8
5,19,2025-07,2026-01,LFIN,124,20357,33.9,42.7,46.0,-12.1,-3.2
5,19,2025-07,2026-01,LOFC,124,20357,51.6,43.5,38.7,12.9,4.8
5,19,2025-07,2026-01,LOLC,124,20357,53.2,50.0,44.4,8.9,5.6
5,19,2025-07,2026-01,SAMP,124,20357,33.1,35.5,38.7,-5.6,-3.2
5,20,2026-01,2026-07,CFIN,118,21225,32.2,34.7,34.7,-2.5,0.0
5,20,2026-01,2026-07,COMB,118,21225,42.4,25.4,50.0,-7.6,-24.6
5,20,2026-01,2026-07,HNB,118,21225,34.7,25.4,39.8,-5.1,-14.4
5,20,2026-01,2026-07,LFIN,118,21225,41.5,38.1,36.4,5.1,1.7
5,20,2026-01,2026-07,LOFC,118,21225,36.4,39.0,45.8,-9.3,-6.8
5,20,2026-01,2026-07,LOLC,118,21225,28.8,29.7,45.8,-16.9,-16.1
5,20,2026-01,2026-07,SAMP,118,21225,39.0,35.6,44.9,-5.9,-9.3
